,City,ISO3,country,country_num,year,population,GDP_USD,gdp_per_capita,home_adv,tot_gold,tot_silver,tot_bronze,tot_medals,last_medals,secondLast_medals,predictions_gold,predictions_silver,predictions_bronze
1200,Rio de Janeiro,STP,São Tomé & Príncipe,150,2016,199910.0,342781716.0,1714,0,0,0,0,0,0,0,0.0,0.0,0.0
1209,Rio de Janeiro,SAU,Saudi Arabia,151,2016,32275687.0,646438380560.0,20028,0,0,0,0,0,1,0,1.0,1.0,1.0
1221,Rio de Janeiro,SEN,Senegal,152,2016,15411614.0,14683697631.0,952,0,0,0,0,0,0,0,2.0,0.0,0.0
1225,Rio de Janeiro,SRB,Serbia,153,2016,7057412.0,38299854688.0,5426,0,2,4,2,8,4,3,1.0,2.0,0.0
1232,Rio de Janeiro,SYC,Seychelles,154,2016,94677.0,1427323889.0,15075,0,0,0,0,0,0,0,0.0,0.0,0.0
1241,Rio de Janeiro,SLE,Sierra Leone,155,2016,7396190.0,3736588554.0,505,0,0,0,0,0,0,0,0.0,0.0,0.0
1252,Rio de Janeiro,SGP,Singapore,156,2016,5607283.0,296975678610.0,52962,0,1,0,0,1,2,1,0.0,1.0,2.0
1256,Rio de Janeiro,SVK,Slovakia,157,2016,5428704.0,89768598023.0,16535,0,2,2,0,4,4,6,0.0,2.0,3.0
1260,Rio de Janeiro,SVN,Slovenia,158,2016,2064845.0,44708598649.0,21652,0,1,2,1,4,4,5,5.0,2.0,3.0
1267,Rio de Janeiro,SLB,Solomon Islands,159,2016,599419.0,1202125000.0,2005,0,0,0,0,0,0,0,0.0,0.0,0.0
1273,Rio de Janeiro,ZAF,South Africa,161,2016,55908865.0,295456189492.0,5284,0,2,6,2,10,6,1,2.0,6.0,1.0
1285,Rio de Janeiro,KOR,South Korea,162,2016,51245707.0,1411245589977.0,27538,0,9,3,9,21,28,31,8.0,8.0,9.0
1298,Rio de Janeiro,ESP,Spain,163,2016,46443959.0,1237255019654.0,26639,0,7,4,6,17,17,18,3.0,10.0,4.0
1310,Rio de Janeiro,LKA,Sri Lanka,164,2016,21203000.0,81321876307.0,3835,0,0,0,0,0,0,0,0.0,0.0,3.0
